Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
243.81,98.84870455,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
244.02,98.69271621,23/10/2015,GPS,GPS,,,,,GPS,,1,1
245.27,98.3582799,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
246.66,98.18121708,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
248.08,97.86719538,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
248.52,97.63083602,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
248.53,97.62593007,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
248.9,97.5409226,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
249.09,97.52451356,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
249.28,97.45284702,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
249.29,97.44668941,23/10/2015,GPS,GPS,,,,,GPS,,1,1
249.68,97.02719396,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
250.05,96.76918574,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
250.06,96.77236282,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
250.39,97.08278525,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
250.4,97.09173574,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
250.96,96.76117309,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
251.16,96.76313885,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
252.25,96.18381237,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
252.35,96.15688638,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
252.43,96.13139658,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
252.45,96.123095,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
252.83,95.7992573,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
253.61,95.78700444,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
253.8,95.59993391,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
254.17,95.28197626,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
254.19,95.27318474,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
254.49,95.20431861,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
254.56,95.19661648,23/10/2015,GPS,GPS,,,,,GPS,,1,1
254.58,95.19467338,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
255.16,95.01424871,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
255.18,94.99213913,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
256.03,94.69064816,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
